transcript_id,median_expression
PNW89079,0.6543095
PNW87900,2.199469
PNW88244,49.6188895
PNW88280,0.8594630000000001
PNW88864,195.7021425
PNW88077,21.454410000000003
PNW88444,25.8502625
PNW88189,0.869647
PNW88336,58.71557
PNW88496,2.3917595
PNW88584,4.4357945
PNW88216,31.560548
PNW87875,4.1753155
PNW89091,13.1296585
PNW88059,1.9949465
PNW88205,0.115897
PNW88237,0.9241305
PNW88349,2.7078849999999997
PNW88518,39.3035565
PNW88666,6.9105085
PNW87993,6.3462025
PNW87966,0.1255375
PNW88641,0.132769
PNW87740,3.3468099999999996
PNW87747,3.1943595
PNW88429,2.1015935000000003
PNW88920,0.08378000000000001
PNW88064,0.725815
PNW88535,0.0
PNW87997,15.6030195
PNW88119,1.827743
PNW88662,1131.4949375
PNW87947,12.2132905
PNW88045,0.522966
PNW88109,16.087813999999998
PNW88272,47.129330499999995
PNW88632,1.5542985
PNW88740,0.6706995
PNW87916,0.2359545
PNW87915,0.2283435
PNW88075,11.711562500000001
PNW88135,53.942836
PNW87840,0.2755215
PNW87839,2.4491035
PNW88555,131.901626
PNW88928,1.962073
PNW88764,1.606938
PNW88134,8.211545000000001
PNW88316,0.8062175
PNW88637,1.2532895
PNW87814,0.7080420000000001
PNW89096,10.4331745
PNW88576,32.270476
PNW87826,8.0864835
PNW88197,18.477341
PNW88669,0.8242385000000001
PNW87886,8.690392
PNW88456,9.1616705
PNW88929,53.675434
PNW88040,0.9745815
PNW88656,1.1853955
PNW88749,29.9302255
PNW88484,11.961744
PNW87816,0.21355300000000002
PNW87958,0.583416
PNW88478,0.043179499999999996
PNW88110,19.9199775
PNW88145,19.14751
PNW89001,9.6455085
PNW88999,140.571124
PNW88194,1.4801465
PNW87870,0.1268585
PNW88435,1.703457
PNW87837,1.9064609999999997
PNW88372,170.731663
PNW88756,21.810361
PNW88822,0.117565
PNW88144,23.477078499999998
PNW88159,89.8572915
PNW88730,8.352699000000001
PNW87769,6.541853
PNW88099,2.8346295
PNW88799,27.1681335
PNW88905,0.6169635
PNW88165,6.459468
PNW88542,4.010356
PNW88541,0.0
PNW88611,0.0
PNW88610,8.8609185
PNW87878,12.3626705
PNW88475,30.6396425
PNW87962,5.441416
PNW89072,5.9657045
PNW88139,0.17127699999999998
PNW88616,45.2469385
PNW88083,6.0216115
PNW88084,24.061756000000003
PNW88877,4.1321125
PNW88062,10.1313915
PNW88380,1.633051
PNW88608,1.0313535
PNW88670,0.111431
PNW88563,9.810922999999999
PNW87800,2.132574
PNW88289,3.1906375
PNW88729,1.745484
PNW88840,0.0
PNW88935,0.3500425
PNW88766,2.7107815
PNW88136,26.146546
PNW88191,27.55205
PNW88065,8.269321
PNW88821,0.557896
PNW87977,0.043064
PNW88792,1171.4823305
PNW88746,0.0349
PNW87936,21.940258500000002
PNW88292,0.155615
PNW87986,0.7211164999999999
PNW88897,9.6098415
PNW88981,0.6115475
PNW88001,0.467898
PNW88142,1.4223295
PNW87932,1.9876465
PNW89088,12.241755
PNW88638,30.86502
PNW88211,0.0
PNW88322,1.5690190000000002
PNW88794,0.0
PNW88795,4.0604695
PNW89043,0.258232
PNW89044,0.0
PNW88425,3.092203
PNW87961,0.250097
PNW87981,8.366383
PNW88678,0.4890565
PNW88195,6.087892500000001
PNW89068,120.0395655
PNW88894,7.7613585
PNW88258,18.213044500000002
PNW88826,3.2570170000000003
PNW87743,134.4228855
PNW88130,0.8944365
PNW88847,0.44930899999999996
PNW88094,2.508711
PNW88624,0.0
PNW88217,4.0973085000000005
PNW87994,52.385434
PNW88915,7.779838
PNW88540,20.38585
PNW87760,1.155647
PNW88924,0.210869
PNW88155,3.7595765
PNW88344,12.2874205
PNW88461,4.1620025
PNW88727,0.5205595
PNW88728,0.0332815
PNW88164,0.319099
PNW88273,4.391655999999999
PNW88329,14.075778999999999
PNW88042,0.179938
PNW88043,2.502167
PNW88431,0.43579
PNW88223,0.4957205
PNW88434,10.4806645
PNW88659,45.0906915
PNW88018,2201.6772229999997
PNW89000,3.2919845
PNW88966,4.9858460000000004
PNW87841,14.8956075
PNW88192,9.935755
PNW88957,14.0735045
PNW88465,11.632177
PNW88738,2.1802655
PNW88925,0.610637
PNW88933,0.47222299999999995
PNW88384,6.4744779999999995
PNW88014,0.403579
PNW88385,54.347601
PNW88215,2.164843
PNW88851,44.0389705
PNW88162,7.2213840000000005
PNW88250,0.5024645
PNW88097,38.2274455
PNW88288,0.518598
PNW89058,0.0
PNW88113,2.2481245000000003
PNW89047,1.167599
PNW88158,1.2010669999999999
PNW88371,43.530096
PNW88754,7.5447275000000005
PNW88961,20.733744
PNW88526,0.0215815
PNW88548,3.6058605
PNW88786,1.7995785
PNW87763,0.307839
PNW88939,16.9785555
PNW88940,0.0
PNW88227,4.517632
PNW88257,6.697330000000001
PNW88255,0.0
PNW88256,2.5743164999999997
PNW88422,42.532081999999996
PNW88778,25.821021000000002
PNW87976,7.5892135
PNW88824,33.478914
PNW88739,5.0608515
PNW88021,11.255416
PNW88448,265.3660855
PNW88697,38.812582
PNW88219,8.803694499999999
PNW88596,0.6212005
PNW88347,1.0709899999999999
PNW87960,6.2040995
PNW88188,7.364701999999999
PNW88055,0.7462799999999999
PNW87895,1.077306
PNW88859,55.113599
PNW88550,11.627783
PNW88965,11.0380825
PNW87876,0.7132355
PNW87995,12.255560000000001
PNW88041,0.17010150000000002
PNW88621,5.318816
PNW88370,6.7041705
PNW89016,150.6447025
PNW88290,1.8679815
PNW88625,0.139303
PNW88765,5.288111
PNW88781,4.876956
PNW88932,13.242577
PNW87927,4.8423815
PNW88587,0.216036
PNW88726,0.196072
PNW88319,28.6217725
PNW88479,0.0
PNW87741,16.879288000000003
PNW87885,9.8046395
PNW88132,20.9584085
PNW88052,2.8192334999999997
PNW87817,0.028471
PNW88846,0.581734
PNW88902,15.639598
PNW88278,1.1906625
PNW88430,14.7105635
PNW88688,5.288944
PNW88945,1293.4182890000002
PNW87903,0.0
PNW88299,1.3816505000000001
PNW88033,25.728666
PNW88839,0.0
PNW88306,0.033967
PNW88579,1.548677
PNW88594,1.00529
PNW88335,43.4794975
PNW88814,2.414473
PNW88869,1.0848595
PNW88259,0.712907
PNW87989,0.5653035
PNW88346,0.73934
PNW87765,17.210736
PNW87918,286.0748455
PNW87917,16.9056135
PNW88998,39.242447
PNW89028,0.6920584999999999
PNW88687,13.873069000000001
PNW88819,0.1045675
PNW88295,5.0320125
PNW88447,1.3763925000000001
PNW88480,0.14010450000000002
PNW88675,8.584141
PNW88405,40.7542085
PNW88108,4.232714
PNW88356,0.6636975
PNW88882,12.605973
PNW89025,1.5570735
PNW88469,0.28095
PNW88353,0.30171
PNW88483,17.065749
PNW88148,36.0420275
PNW87905,0.3407225
PNW87904,0.0
PNW88577,71.035285
PNW88712,2.8656194999999998
PNW87779,11.119871
PNW88381,5990.7189705
PNW88252,0.0
PNW89085,18289.533219999998
PNW88201,1.7086735000000002
PNW88682,7.996209
PNW88606,6.558183
PNW88420,4.1820015
PNW88317,40.8767135
PNW88129,55.0313465
PNW87739,0.689699
PNW88952,2.6377960000000003
PNW88092,3.5439775
PNW88131,7.8806674999999995
PNW88512,7.880185
PNW87869,3.030573
PNW88027,3.0041919999999998
PNW88196,23.282855499999997
PNW88364,0.372715
PNW88530,5.0389875
PNW88716,10.4793935
PNW87736,4.034469
PNW88061,54.031572499999996
PNW88298,15.7669235
PNW88222,135.882772
PNW87991,18.940364499999998
PNW89002,39.725962
PNW89017,2.764109
PNW88835,16.912039
PNW87845,5.4554765000000005
PNW89039,0.025023
PNW88300,2.4466545
PNW88829,2.3524309999999997
PNW88544,34.688404500000004
PNW89089,10.468928
PNW88187,3.6646170000000002
PNW88251,10.5245
PNW88866,3.4035095
PNW88767,0.6657165
PNW88151,0.0
PNW88150,0.0
PNW88049,0.041965
PNW88050,0.7321575
PNW88763,6.2442185
PNW87983,0.4941755
PNW88285,0.280659
PNW88464,2.7611265
PNW88296,5.453038
PNW87777,1.6963805
PNW88309,4.9696355
PNW88330,0.1614515
PNW87830,3.000448
PNW87925,0.31714200000000003
PNW88460,5.1185670000000005
PNW88860,0.4443205
PNW88206,1.037462
PNW88545,2.5689905
PNW89074,27.3042305
PNW87794,1622.891981
PNW88936,86.6236995
PNW89010,0.42557199999999995
PNW87787,0.022973
PNW88175,0.028345
PNW88174,9.893229999999999
PNW88556,13.388753
PNW87924,10.580611
PNW88733,0.308522
PNW89030,2.8071520000000003
PNW88992,0.6774785
PNW88082,1.6088464999999998
PNW88112,0.0
PNW88401,13.55734
PNW88172,10.681829500000001
PNW88528,10.084732500000001
PNW88529,0.0
PNW88802,3.385605
PNW87933,69.64153250000001
PNW87934,9.952618000000001
PNW88549,9.797297
PNW88143,108.60801099999999
PNW89094,8.615187500000001
PNW88080,78.104256
PNW88654,26.249273000000002
PNW89012,1.0754905000000001
PNW88477,1.7889214999999998
PNW88876,37.2920535
PNW88995,3.679525
PNW88572,1.9159795
PNW88497,1.5726499999999999
PNW88820,3.705259
PNW88423,12.431319
PNW88245,0.766375
PNW88010,21.6340205
PNW88085,2.9888495
PNW88127,17.2124895
PNW88152,26.833323
PNW88903,223.35502
PNW88988,9.523019000000001
PNW87899,0.213402
PNW88407,0.237795
PNW88503,1.4085595
PNW88879,0.927447
PNW87946,2.4110925
PNW88943,0.0246265
PNW88338,3.852933
PNW87772,6.6222155
PNW87914,0.1514545
PNW88334,26.0413645
PNW88564,13.095921
PNW87853,8.9284295
PNW87894,7.112767
PNW88760,11.44027
PNW88793,1.008807
PNW88466,17.270218
PNW88491,2.6136805
PNW87834,0.3953745
PNW88893,377.59601050000003
PNW88253,13.6267885
PNW88519,6.3433225
PNW89049,14.5558965
PNW88178,11.4207705
PNW88520,2.123275
PNW87810,0.4780805
PNW88707,13.37891
PNW88501,9.8973515
PNW89065,1.9597710000000002
PNW88190,3.155302
PNW88647,98.28425800000001
PNW88989,8.834620000000001
PNW88079,18.2503435
PNW88161,4.3721365
PNW88732,6.4336015
PNW87965,0.034736
PNW88871,1.434614
PNW87891,8.667771
PNW88235,391.63374
PNW88591,0.244905
PNW89037,6.8894605
PNW88489,33.7319145
PNW88653,1.7783245
PNW88087,0.9080415
PNW87926,4.2097445
PNW88387,1.8909285
PNW87945,1.6538374999999998
PNW88198,13.307101
PNW88978,0.6384529999999999
PNW89081,6.892627999999999
PNW89090,8.067160000000001
PNW87852,140.96341
PNW88270,2.383578
PNW88404,14.7798295
PNW87770,1.1269725
PNW88870,2.3390199999999997
PNW88327,1.8316275
PNW87985,0.9880175
PNW87984,0.0
PNW87748,0.2014795
PNW87922,0.34587850000000003
PNW88874,45.177317
PNW88700,6.0760045
PNW88701,0.0
PNW87767,0.9216880000000001
PNW88066,6.085160999999999
PNW88365,0.9052874999999999
PNW88443,8.6149845
PNW89019,4.9859504999999995
PNW87902,2.017125
PNW88302,26.6779975
PNW89098,17.1047775
PNW88813,123.1914515
PNW88568,29.072473
PNW89031,42.4620605
PNW88268,0.12236150000000001
PNW88343,43.95101699999999
PNW88377,0.183934
PNW88400,0.0
PNW87897,0.0
PNW87898,0.0514685
PNW88016,0.5807599999999999
PNW87973,0.658926
PNW88269,0.0
PNW87940,136.1119935
PNW88845,6.6102785
PNW89060,0.3895105
PNW88592,15.5430545
PNW88828,1.0408325
PNW88827,0.0
PNW88959,285.991961
PNW88318,5.871477
PNW88751,31.875684
PNW88850,0.230796
PNW88160,84.3486535
PNW88352,0.20264849999999998
PNW88788,11.239631
PNW87992,7.2887945
PNW88901,18.525569
PNW88873,2.9546085
PNW87815,0.526427
PNW88098,18.879419
PNW88369,30.613086
PNW88432,8.328629999999999
PNW88476,8.6905825
PNW88679,3.8442735
PNW87913,18.360798
PNW87928,0.1754965
PNW87938,8.30274
PNW88629,0.096038
PNW88386,1.006802
PNW87744,32.725460500000004
PNW88341,7.039796
PNW89026,0.0
PNW89027,1.2630089999999998
PNW87796,3.214659
PNW88402,24.990034
PNW88011,4.9956195
PNW88024,5.938708
PNW88757,109.14681399999999
PNW88574,0.194841
PNW88547,0.5662475
PNW88546,1.7541785
PNW89084,225.4673135
PNW89092,2.510834
PNW89062,14.527392
PNW89045,0.0746055
PNW88125,0.746886
PNW88057,21.8718645
PNW88323,7.9783975
PNW88396,6.1164665000000005
PNW88123,0.9689329999999999
PNW88609,8.990276
PNW88120,2.9883705000000003
